# t_unix,market,bid,bid_size,ask,ask_size
1786858915.477,bitcoin-up-or-down-august-16-2026-1am-et,0.19,25,0.2,166
1786858915.639,bitcoin-up-or-down-august-16-2026-1am-et-no,0.8,166,0.81,25
1786858915.817,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858915.989,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858916.147,ethereum-up-or-down-august-16-2026-1am-et,0.23,140,0.24,364
1786858916.335,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,364,0.77,140
1786858916.529,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858916.767,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858916.940,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858917.111,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858917.284,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858917.458,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858917.627,btc-updown-15m-1786858200,0.76,2941.05,0.77,1163.39
1786858917.828,btc-updown-15m-1786858200-no,0.23,1163.39,0.24,2941.05
1786858918.058,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,10
1786858918.262,solana-up-or-down-august-16-2026-1am-et-no,0.8,10,0.82,20
1786858918.487,xrp-up-or-down-august-16-2026-1am-et,0.27,7,0.29,5
1786858918.653,xrp-up-or-down-august-16-2026-1am-et-no,0.71,5,0.73,7
1786858918.830,xrp-updown-4h-1786852800,0.24,50,0.25,67
1786858919.006,xrp-updown-4h-1786852800-no,0.75,67,0.76,50
1786858919.189,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858919.366,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858919.534,bitcoin-up-or-down-august-16-2026-1am-et,0.18,94,0.19,25
1786858919.715,bitcoin-up-or-down-august-16-2026-1am-et-no,0.81,25,0.82,94
1786858919.888,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858920.066,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858920.239,ethereum-up-or-down-august-16-2026-1am-et,0.23,140,0.24,354
1786858920.487,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,354,0.77,140
1786858920.751,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858920.946,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858921.113,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858921.289,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858921.516,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858921.797,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858921.994,btc-updown-15m-1786858200,0.75,2565.45,0.76,416.16
1786858922.173,btc-updown-15m-1786858200-no,0.24,416.16,0.25,80.37
1786858922.390,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,10
1786858922.663,solana-up-or-down-august-16-2026-1am-et-no,0.8,10,0.82,20
1786858922.847,xrp-up-or-down-august-16-2026-1am-et,0.27,7,0.29,5
1786858923.015,xrp-up-or-down-august-16-2026-1am-et-no,0.71,5,0.73,7
1786858923.188,xrp-updown-4h-1786852800,0.24,50,0.25,67
1786858923.356,xrp-updown-4h-1786852800-no,0.75,67,0.76,50
1786858923.544,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858923.722,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858923.900,bitcoin-up-or-down-august-16-2026-1am-et,0.18,78,0.2,207
1786858924.085,bitcoin-up-or-down-august-16-2026-1am-et-no,0.8,207,0.82,78
1786858924.313,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858924.581,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858924.934,ethereum-up-or-down-august-16-2026-1am-et,0.23,140,0.24,359
1786858925.141,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,359,0.77,140
1786858925.321,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858925.482,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858925.644,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858925.804,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858925.975,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858926.160,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858926.420,btc-updown-15m-1786858200,0.74,1983,0.75,24.84
1786858926.629,btc-updown-15m-1786858200-no,0.25,24.84,0.26,1983
1786858926.818,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,60
1786858927.001,solana-up-or-down-august-16-2026-1am-et-no,0.8,60,0.82,20
1786858927.169,xrp-up-or-down-august-16-2026-1am-et,0.27,7,0.29,5
1786858927.333,xrp-up-or-down-august-16-2026-1am-et-no,0.71,5,0.73,7
1786858927.515,xrp-updown-4h-1786852800,0.24,50,0.25,67
1786858927.681,xrp-updown-4h-1786852800-no,0.75,67,0.76,50
1786858927.844,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858928.010,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858928.175,bitcoin-up-or-down-august-16-2026-1am-et,0.18,86,0.2,337
1786858928.337,bitcoin-up-or-down-august-16-2026-1am-et-no,0.8,337,0.82,86
1786858928.576,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858928.741,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858928.900,ethereum-up-or-down-august-16-2026-1am-et,0.23,140,0.24,364
1786858929.104,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,364,0.77,140
1786858929.269,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858929.435,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858929.611,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858929.770,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858930.024,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858930.558,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858931.147,btc-updown-15m-1786858200,0.75,1996.07,0.76,190.05
1786858931.908,btc-updown-15m-1786858200-no,0.24,185.45,0.25,85.31
1786858932.627,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.19,50
1786858933.259,solana-up-or-down-august-16-2026-1am-et-no,0.81,50,0.82,20
1786858933.697,xrp-up-or-down-august-16-2026-1am-et,0.27,7,0.31,68
1786858933.870,xrp-up-or-down-august-16-2026-1am-et-no,0.69,68,0.73,7
1786858934.063,xrp-updown-4h-1786852800,0.24,50,0.25,67
1786858934.237,xrp-updown-4h-1786852800-no,0.75,67,0.76,50
1786858934.401,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858934.568,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858934.746,bitcoin-up-or-down-august-16-2026-1am-et,0.18,94,0.19,88
1786858934.917,bitcoin-up-or-down-august-16-2026-1am-et-no,0.81,88,0.82,94
1786858935.084,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858935.261,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858935.448,ethereum-up-or-down-august-16-2026-1am-et,0.23,140,0.24,364
1786858935.614,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,364,0.77,140
1786858935.779,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858936.050,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858936.223,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858936.414,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858936.590,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858936.774,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858936.943,btc-updown-15m-1786858200,0.75,78.69,0.76,61.25
1786858937.116,btc-updown-15m-1786858200-no,0.24,61.25,0.25,78.69
1786858937.286,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,10
1786858937.453,solana-up-or-down-august-16-2026-1am-et-no,0.8,10,0.82,20
1786858937.608,xrp-up-or-down-august-16-2026-1am-et,0.27,7,0.31,68
1786858937.770,xrp-up-or-down-august-16-2026-1am-et-no,0.69,68,0.73,7
1786858937.932,xrp-updown-4h-1786852800,0.24,50,0.25,67
1786858938.100,xrp-updown-4h-1786852800-no,0.75,67,0.76,50
1786858938.273,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858938.439,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858938.602,bitcoin-up-or-down-august-16-2026-1am-et,0.18,94,0.19,88
1786858938.784,bitcoin-up-or-down-august-16-2026-1am-et-no,0.81,88,0.82,94
1786858938.948,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858939.113,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858939.280,ethereum-up-or-down-august-16-2026-1am-et,0.23,40,0.24,364
1786858939.447,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,364,0.77,40
1786858939.624,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858939.800,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858939.964,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858940.123,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858940.294,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858940.469,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858940.634,btc-updown-15m-1786858200,0.74,53.87,0.75,314.81
1786858940.804,btc-updown-15m-1786858200-no,0.25,258.11,0.26,93.87
1786858941.009,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.19,50
1786858941.181,solana-up-or-down-august-16-2026-1am-et-no,0.81,50,0.82,20
1786858941.350,xrp-up-or-down-august-16-2026-1am-et,0.27,7,0.29,5
1786858941.539,xrp-up-or-down-august-16-2026-1am-et-no,0.71,5,0.73,7
1786858941.704,xrp-updown-4h-1786852800,0.24,50,0.25,67
1786858941.883,xrp-updown-4h-1786852800-no,0.75,67,0.76,50
1786858942.045,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858942.219,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858942.387,bitcoin-up-or-down-august-16-2026-1am-et,0.18,100,0.19,88
1786858942.563,bitcoin-up-or-down-august-16-2026-1am-et-no,0.81,88,0.82,100
1786858942.729,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858942.890,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858943.054,ethereum-up-or-down-august-16-2026-1am-et,0.23,20,0.24,364
1786858943.222,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,364,0.77,20
1786858943.384,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858943.549,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858943.761,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858944.078,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858944.251,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858944.432,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858944.602,btc-updown-15m-1786858200,0.74,1998.68,0.75,261.11
1786858944.767,btc-updown-15m-1786858200-no,0.25,261.11,0.26,1998.68
1786858944.999,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,10
1786858945.165,solana-up-or-down-august-16-2026-1am-et-no,0.8,10,0.82,20
1786858945.334,xrp-up-or-down-august-16-2026-1am-et,0.27,7,0.29,10
1786858945.509,xrp-up-or-down-august-16-2026-1am-et-no,0.71,10,0.73,7
1786858945.678,xrp-updown-4h-1786852800,0.24,50,0.25,67
1786858945.846,xrp-updown-4h-1786852800-no,0.75,67,0.76,50
1786858946.013,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858946.191,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858946.359,bitcoin-up-or-down-august-16-2026-1am-et,0.18,16,0.19,88
1786858946.529,bitcoin-up-or-down-august-16-2026-1am-et-no,0.81,88,0.82,16
1786858946.712,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858946.879,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858947.040,ethereum-up-or-down-august-16-2026-1am-et,0.23,20,0.24,364
1786858947.203,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,364,0.77,20
